OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point,SF_Find_Neighborhoods,Current_Police_Districts,Current_Supervisor_Districts,Analysis_Neighborhoods
32771,Presidio Blvd&Simonds Loop SE-NS/SB,PRSDSIM1,PRSDSIMD,6106,37.796482,-122.451517,0,SIMONDS LOOP,PRESIDIO BLVD,NS,SE,,0,09/11/2019 06:58:28 PM +0000,1639383,120,,"(37.7964819997211, -122.45151699971892)",3,,6,27
30297,16th St&Bryant St N-MB/BZ,16STBRY1,16STBRYT,3281,37.765658,-122.410294,0,BRYANT ST,16TH ST,NS,NE,BZ,1,09/11/2019 06:58:28 PM +0000,1632851,120,,"(37.765657999995504, -122.41029400048646)",53,3,9,20
33574,Field Rd&Bodsworth Rd SE-FS/SB,FILDBDS2,,7692,37.830373,-122.524399,,BODSWORTH RD,FIELD RD,,,,,09/11/2019 06:58:28 PM +0000,1639917,120,,"(37.830372999635465, -122.52439900048306)",,,,
32911,Cabrillo St&47TH Ave SW-NS/PS,CBRO47A1,CBRO47AV,3925,37.773287,-122.507985,0,47TH AVE,CABRILLO ST,NS,SW,,0,09/11/2019 06:58:28 PM +0000,1639562,120,,"(37.77328699983427, -122.50798499965282)",8,8,4,29
31492,Lombard St&Laguna St NE-NS/SB,LOMBLGN1,LOMBLGNA,5280,37.80057,-122.43101,0,LAGUNA ST,LOMBARD ST,NS,NE,,0,09/11/2019 06:58:28 PM +0000,1634885,120,,"(37.800569999798284, -122.43100999973817)",17,4,6,13
31267,Ingalls St&Thomas Ave N-NS,INGLTHO0,INGLTHOM,5111,37.72735,-122.38563,0,THOMAS AVE,INGALLS ST,NS,N,FL,0,09/11/2019 06:58:28 PM +0000,1634556,120,,"(37.72735000016082, -122.38562999998756)",86,2,9,1
32726,Silver Ave&Revere Ave W-FS/PS,SILVRVR1,SILVRVRE,6420,37.736361,-122.398888,0,REVERE AVE,SILVER AVE,FS,W,,0,09/11/2019 06:58:28 PM +0000,1639259,120,,"(37.73636099979912, -122.3988880000485)",87,2,9,1
32123,Rhode Island St&17th St NW-NS/PS,R IS17S0,R IS17ST,6191,37.76487,-122.402673,0,17TH ST,RHODE ISLAND ST,NS,NW,,0,09/11/2019 06:58:28 PM +0000,1636698,120,,"(37.76486999999898, -122.40267299946775)",54,1,9,4
30840,Geary Blvd&12TH Ave SE-FS/BZ,GEAR12A1,GEAR12AV,4262,37.780607,-122.470819,0,12TH AVE,GEARY BLVD,FS,SE,BZ,0,09/11/2019 06:58:28 PM +0000,1633813,120,,"(37.78060699960644, -122.47081899969275)",5,8,4,11
32195,Newcomb Ave&Newhall St E-NS/SB,NEWCNEW1,NEWCNEWH,5490,37.736304,-122.391522,0,NEWHALL ST,NEWCOMB AVE,NS,E,,0,09/11/2019 06:58:28 PM +0000,1636560,120,,"(37.73630399999377, -122.39152199967407)",86,2,9,1
